Inverse Logarithm Table for GF(2^10)
polynomial    | power 
0100101010 (decimal: 298) | alpha^611 
1001010100 (decimal: 596) | alpha^612 
0010100001 (decimal: 161) | alpha^613 
0101000010 (decimal: 322) | alpha^614 
1010000100 (decimal: 644) | alpha^615 
0100000001 (decimal: 257) | alpha^616 
1000000010 (decimal: 514) | alpha^617 
0000001101 (decimal: 13) | alpha^618 
0000011010 (decimal: 26) | alpha^619 
0000110100 (decimal: 52) | alpha^620 
0001101000 (decimal: 104) | alpha^621 
0011010000 (decimal: 208) | alpha^622 
0110100000 (decimal: 416) | alpha^623 
1101000000 (decimal: 832) | alpha^624 
1010001001 (decimal: 649) | alpha^625 
0100011011 (decimal: 283) | alpha^626 
1000110110 (decimal: 566) | alpha^627 
0001100101 (decimal: 101) | alpha^628 
0011001010 (decimal: 202) | alpha^629 
0110010100 (decimal: 404) | alpha^630 
1100101000 (decimal: 808) | alpha^631 
1001011001 (decimal: 601) | alpha^632 
0010111011 (decimal: 187) | alpha^633 
0101110110 (decimal: 374) | alpha^634 
1011101100 (decimal: 748) | alpha^635 
0111010001 (decimal: 465) | alpha^636 
1110100010 (decimal: 930) | alpha^637 
1101001101 (decimal: 845) | alpha^638 
1010010011 (decimal: 659) | alpha^639 
0100101111 (decimal: 303) | alpha^640 
1001011110 (decimal: 606) | alpha^641 
0010110101 (decimal: 181) | alpha^642 
0101101010 (decimal: 362) | alpha^643 
1011010100 (decimal: 724) | alpha^644 
0110100001 (decimal: 417) | alpha^645 
1101000010 (decimal: 834) | alpha^646 
1010001101 (decimal: 653) | alpha^647 
0100010011 (decimal: 275) | alpha^648 
1000100110 (decimal: 550) | alpha^649 
0001000101 (decimal: 69) | alpha^650 
0010001010 (decimal: 138) | alpha^651 
0100010100 (decimal: 276) | alpha^652 
1000101000 (decimal: 552) | alpha^653 
0001011001 (decimal: 89) | alpha^654 
0010110010 (decimal: 178) | alpha^655 
0101100100 (decimal: 356) | alpha^656 
1011001000 (decimal: 712) | alpha^657 
