Logarithm Table for GF(2^10)
power | polynomial 
alpha^496  |  1010111011 (decimal: 699)
alpha^497  |  0101111111 (decimal: 383)
alpha^498  |  1011111110 (decimal: 766)
alpha^499  |  0111110101 (decimal: 501)
alpha^500  |  1111101010 (decimal: 1002)
alpha^501  |  1111011101 (decimal: 989)
alpha^502  |  1110110011 (decimal: 947)
alpha^503  |  1101101111 (decimal: 879)
alpha^504  |  1011010111 (decimal: 727)
alpha^505  |  0110100111 (decimal: 423)
alpha^506  |  1101001110 (decimal: 846)
alpha^507  |  1010010101 (decimal: 661)
alpha^508  |  0100100011 (decimal: 291)
alpha^509  |  1001000110 (decimal: 582)
alpha^510  |  0010000101 (decimal: 133)
alpha^511  |  0100001010 (decimal: 266)
alpha^512  |  1000010100 (decimal: 532)
alpha^513  |  0000100001 (decimal: 33)
alpha^514  |  0001000010 (decimal: 66)
alpha^515  |  0010000100 (decimal: 132)
alpha^516  |  0100001000 (decimal: 264)
alpha^517  |  1000010000 (decimal: 528)
alpha^518  |  0000101001 (decimal: 41)
alpha^519  |  0001010010 (decimal: 82)
alpha^520  |  0010100100 (decimal: 164)
alpha^521  |  0101001000 (decimal: 328)
alpha^522  |  1010010000 (decimal: 656)
alpha^523  |  0100101001 (decimal: 297)
alpha^524  |  1001010010 (decimal: 594)
alpha^525  |  0010101101 (decimal: 173)
alpha^526  |  0101011010 (decimal: 346)
alpha^527  |  1010110100 (decimal: 692)
alpha^528  |  0101100001 (decimal: 353)
alpha^529  |  1011000010 (decimal: 706)
alpha^530  |  0110001101 (decimal: 397)
alpha^531  |  1100011010 (decimal: 794)
alpha^532  |  1000111101 (decimal: 573)
alpha^533  |  0001110011 (decimal: 115)
alpha^534  |  0011100110 (decimal: 230)
alpha^535  |  0111001100 (decimal: 460)
alpha^536  |  1110011000 (decimal: 920)
alpha^537  |  1100111001 (decimal: 825)
alpha^538  |  1001111011 (decimal: 635)
alpha^539  |  0011111111 (decimal: 255)
alpha^540  |  0111111110 (decimal: 510)
alpha^541  |  1111111100 (decimal: 1020)
alpha^542  |  1111110001 (decimal: 1009)
alpha^543  |  1111101011 (decimal: 1003)
alpha^544  |  1111011111 (decimal: 991)
alpha^545  |  1110110111 (decimal: 951)
alpha^546  |  1101100111 (decimal: 871)
alpha^547  |  1011000111 (decimal: 711)
alpha^548  |  0110000111 (decimal: 391)
alpha^549  |  1100001110 (decimal: 782)
alpha^550  |  1000010101 (decimal: 533)
alpha^551  |  0000100011 (decimal: 35)
alpha^552  |  0001000110 (decimal: 70)
alpha^553  |  0010001100 (decimal: 140)
alpha^554  |  0100011000 (decimal: 280)
alpha^555  |  1000110000 (decimal: 560)
alpha^556  |  0001101001 (decimal: 105)
alpha^557  |  0011010010 (decimal: 210)
alpha^558  |  0110100100 (decimal: 420)
alpha^559  |  1101001000 (decimal: 840)
alpha^560  |  1010011001 (decimal: 665)
alpha^561  |  0100111011 (decimal: 315)
alpha^562  |  1001110110 (decimal: 630)
alpha^563  |  0011100101 (decimal: 229)
alpha^564  |  0111001010 (decimal: 458)
alpha^565  |  1110010100 (decimal: 916)
alpha^566  |  1100100001 (decimal: 801)
alpha^567  |  1001001011 (decimal: 587)
alpha^568  |  0010011111 (decimal: 159)
alpha^569  |  0100111110 (decimal: 318)
alpha^570  |  1001111100 (decimal: 636)
alpha^571  |  0011110001 (decimal: 241)
alpha^572  |  0111100010 (decimal: 482)
alpha^573  |  1111000100 (decimal: 964)
alpha^574  |  1110000001 (decimal: 897)
alpha^575  |  1100001011 (decimal: 779)
alpha^576  |  1000011111 (decimal: 543)
alpha^577  |  0000110111 (decimal: 55)
alpha^578  |  0001101110 (decimal: 110)
alpha^579  |  0011011100 (decimal: 220)
alpha^580  |  0110111000 (decimal: 440)
alpha^581  |  1101110000 (decimal: 880)
alpha^582  |  1011101001 (decimal: 745)
alpha^583  |  0111011011 (decimal: 475)
alpha^584  |  1110110110 (decimal: 950)
alpha^585  |  1101100101 (decimal: 869)
alpha^586  |  1011000011 (decimal: 707)
alpha^587  |  0110001111 (decimal: 399)
alpha^588  |  1100011110 (decimal: 798)
alpha^589  |  1000110101 (decimal: 565)
alpha^590  |  0001100011 (decimal: 99)
alpha^591  |  0011000110 (decimal: 198)
alpha^592  |  0110001100 (decimal: 396)
alpha^593  |  1100011000 (decimal: 792)
alpha^594  |  1000111001 (decimal: 569)
alpha^595  |  0001111011 (decimal: 123)
alpha^596  |  0011110110 (decimal: 246)
alpha^597  |  0111101100 (decimal: 492)
alpha^598  |  1111011000 (decimal: 984)
alpha^599  |  1110111001 (decimal: 953)
alpha^600  |  1101111011 (decimal: 891)
alpha^601  |  1011111111 (decimal: 767)
alpha^602  |  0111110111 (decimal: 503)
alpha^603  |  1111101110 (decimal: 1006)
alpha^604  |  1111010101 (decimal: 981)
alpha^605  |  1110100011 (decimal: 931)
alpha^606  |  1101001111 (decimal: 847)
alpha^607  |  1010010111 (decimal: 663)
alpha^608  |  0100100111 (decimal: 295)
alpha^609  |  1001001110 (decimal: 590)
alpha^610  |  0010010101 (decimal: 149)
alpha^611  |  0100101010 (decimal: 298)
alpha^612  |  1001010100 (decimal: 596)
alpha^613  |  0010100001 (decimal: 161)
alpha^614  |  0101000010 (decimal: 322)
alpha^615  |  1010000100 (decimal: 644)
alpha^616  |  0100000001 (decimal: 257)
alpha^617  |  1000000010 (decimal: 514)
